TOPIC_CD,adam_param_code,activity,activity_instance,legacy_description,sub_domain_class,molecular_weight,Assm. group,Assm. subgroup
ACUTE_KIDNEY_INJURY_NEPHROTOXIC_TREATMENT_LAST_3_MONTHS,AKINDA3M,Acute Kidney Injury Nephrotoxic Treatments,Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months,CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_NEPHROTOXIC_TREATMENT_OTHER,AKINDAOT,Acute Kidney Injury Nephrotoxic Treatments,Acute Kidney Injury - Nephrotoxic Treatment Other,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
Nephrotoxic treatment other",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_NSAID,AKINSAID,Acute Kidney Injury Nephrotoxic Treatments,Acute Kidney Injury - NSAIDs,"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months:
Nonsteroidal anti-inflammatory drugs (NSAIDs)",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_POST-RENAL_OBSTRUCTIVE_DISEASE,AKIPROBS,Acute Kidney Injury Conditions,Acute Kidney Injury - Post-Renal Obstructive Disease,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Post-renal obstructive disease",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_PRESENT_OTHER,AKIPROTH,Acute Kidney Injury Present,Acute Kidney Injury - Present Other,"Acute Kidney Injury: How did the event present itself. 
Other, specify",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_PRIMARY_GLOMERULONEPHRITIS,AKIPRGLO,Acute Kidney Injury Conditions,Acute Kidney Injury - Primary Glomerulonephritis,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Primary glomerulonephritis",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_PROGRESSION_OF_CHRONIC_KIDNEY_DISEASE,AKIPRCKD,Acute Kidney Injury Conditions,Acute Kidney Injury - Progression of Chronic Kidney Disease,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Progression of chronic kidney disease",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_RECENT_STREPTOCOCCAL_INFECTION,AKISTREP,Acute Kidney Injury Conditions,Acute Kidney Injury - Recent Streptococcal Infection,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Recent streptococcal infection",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_RENAL_ANGIO-IMAGING,AKIRANIM,Acute Kidney Injury Imaging,Acute Kidney Injury - Renal Angio-Imaging Performed,"Acute Kidney Injury: Was imaging performed in relation to the event: 
Renal angio-imaging",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_RENAL_ARTERY_STENOSIS,AKIREAST,Acute Kidney Injury Conditions,Acute Kidney Injury - Renal Artery Stenosis,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: Renal artery stenosis,CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_RENAL_VEIN_THROMBOSIS,AKIREVET,Acute Kidney Injury Conditions,Acute Kidney Injury - Renal Vein Thrombosis,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Renal vein thrombosis",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_SYSTEMIC_AUTOIMMUNE DISEASE,AKISYAUD,Acute Kidney Injury Conditions,Acute Kidney Injury - Systemic Autoimmune Disease,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Systemic autoimmune disease",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_ULTRASOUND,AKIULTRA,Acute Kidney Injury Imaging,Acute Kidney Injury - Ultrasound Performed,"Acute Kidney Injury: Was imaging performed in relation to the event: 
Ultrasound",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_URINE_VOLUME_FOR_6_HOURS,AKIUV6HU,Acute Kidney Injury Present,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,"Acute Kidney Injury: How did the event present itself. 
Urine volume < 0.5 mL/kg/h for 6 hours",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ADJUDICATION OUTCOME,ADJOUT,Adjudication Outcome,Adjudication Outcome,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,General
ADVERSE EVENT,AE,Adverse Event,Adverse Event,"Any untoward medical occurrence in a patient or clinical investigation subject administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment.
An AE can therefore be any unfavourable and unintended sign (including an abnormal laboratory finding, for example), symptom, or disease temporally associated with the use of a medicinal product, whether or not considered related to the medicinal product.
Note: This includes events from the first trial related activity after the subject has signed the informed consent and
until post treatment follow-up period as defined in the protocol. (SOP 110072 List of Roles/Groups and Definitions within Clinical Research and Observational Studies)",ADVERSE EVENT,,Adverse Event,Adverse Event
ALBUMIN,ALB,Albumin,"Albumin, AE Requiring Additional Data","Albumin

For Lab codes in AE Requiring Additional Data, there should be no SCATs",NUMERIC FINDINGS,67000.0,AE Requiring Additional Data,Laboratory Assessment
