TOPIC_CD,adam_param_code,activity,activity_instance,legacy_description,sub_domain_class,molecular_weight,Assm. group,Assm. subgroup
ELIGIBILITY CRITERIA MET,ELICRIMT,Eligibility Criteria Met,Subject Eligible to Continue the Trial,"Having evaluated all the criteria, the subject is eligible to continue the trial",DISPOSITION,,Eligibility Criteria,Eligibility Criteria
END_OF_TRIAL,EOT,End of Study,End of Study,End of Study,DISPOSITION,,End of Study,End of Study
EOSINOPHIL_ABS_BLOOD,EOSB,Eosinophils,Eosinophils Blood,"Eosinophils count in blood
CDISC code: C64550
CDISC submission value: EOS
CDISC synonym(s): Eosinophils
CDISC Description: A measurement of the eosinophils in a biological specimen.
NCI preferred term: Eosinophil Count",NUMERIC FINDINGS,,Laboratory Assessments,Haematology Differential Count
EOSINOPHIL_ABS_BLOOD,EOSB,Eosinophils,Eosinophils Blood,"Eosinophils count in blood
CDISC code: C64550
CDISC submission value: EOS
CDISC synonym(s): Eosinophils
CDISC Description: A measurement of the eosinophils in a biological specimen.
NCI preferred term: Eosinophil Count",NUMERIC FINDINGS,,Laboratory Assessments,Haematology
EOS_CELL_COUNT,EOS2,Eosinophils,Eosinophils Cell Count (AE),Eosinophils cell count,NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
ERCS_BLOOD,RBCB,Erythrocytes,Erythrocytes,"CDISC code: C51946
CDISC submission value: RBC
CDISC synonym(s): Erythrocytes; Red Blood Cells
CDISC Description: A measurement of the total erythrocytes in a biological specimen.
NCI preferred term: Erythrocyte Count",NUMERIC FINDINGS,,Laboratory Assessments,Haematology
ESTIMATED_GFR_EGFR,GFRE2,"Glomerular Filtration Rate, Estimated",Estimated GFR,A kidney function test that estimates the fluid volume that is filtered from the kidney glomeruli to the Bowman's capsule per unit of time.,NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
ETHNIC,ETHNIC,Ethnicity,Ethnicity,CDISC: Ethnicity of subject.,CATEGORIC FINDINGS,,Informed Consent and Demography,Informed Consent and Demography
ETHNIC,ETHNIC,Ethnicity,Ethnicity,CDISC: Ethnicity of subject.,CATEGORIC FINDINGS,,Demography,Demography
EVALUATED EVENT ONSET DATE,EVALDATE,Evaluated Event Onset Date,Evaluated Event Onset Date,Sponsor defined: Used for Event Adjudication,TEXTUAL FINDINGS,,Event Adjudication,General
EVENT_CONFIRMATION,EVENCONF,Event Confirmation,Event Confirmation,"Confirmation of event: 
Full documentation for meeting criteria available in source documents
or
Full documentation for meeting criteria NOT available in source documents, medical judgment applied",CATEGORIC FINDINGS,,Event Adjudication,General
FIRST_TRIAL_PROD_DATE,FSTTRPDT,First Date on Trial Product,First Date on Trial Product,First date on trial product,DISPOSITION,,End of Study,End of Study
FPG_PLASMA,FPG,Glucose,Fasting Plasma Glucose,"CDISC code: C105585
CDISC submission value: GLUC
CDISC synonym(s): Glucose
CDISC Description: A measurement of the glucose in a biological specimen.
NCI preferred term: Glucose Measurement",NUMERIC FINDINGS,180.2,Laboratory Assessments,Glucose Metabolism
FSG_SERUM,FSG,Glucose,Fasting Serum Glucose,"Molecular Weight (MW): Copied from GLUCOSE_SERUM
Fasting Serum Glucose.
CDISC code: GLUC (for generic code glucose).",NUMERIC FINDINGS,180.2,Laboratory Assessments,Glucose Metabolism
FSI_SERUM,FSI,Insulin,Insulin Serum-Fasting,Fasting insulin in serum.,NUMERIC FINDINGS,5808.0,Laboratory Assessments,Glucose Metabolism
GGT,GGT,Gamma Glutamyl Transferase,Gamma Glutamyl Transferase,"CDISC code:C64847
CDISC submission value: GGT
CDISC synonym(s): Gamma Glutamyl Transferase
CDISC definition: A measurement of the gamma glutamyl transferase in a biological specimen.
NCI preferred term: Gamma Glutamyl Transpeptidase Measurement",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
GGT_SERUM,GGTS,Gamma Glutamyl Transferase,GGT,"CDISC code:C64847
CDISC submission value: GGT
CDISC synonym(s): Gamma Glutamyl Transferase
CDISC definition: A measurement of the gamma glutamyl transferase in a biological specimen.
NCI preferred term: Gamma Glutamyl Transpeptidase Measurement",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
GLUCAGON_PLASMA,GLUCANP,Glucagon,Plasma Glucagon,"CDISC code: C74859
CDISC submission value: GLUCAGON
CDISC synonym(s): Glucagon
CDISC Description: A measurement of the glucagon hormone in a biological specimen.
NCI preferred term: Glucagon Measurement",NUMERIC FINDINGS,3483.0,Laboratory Assessments,Glucose Metabolism
GLUCAGON_SERUM,GLUCAGNS,Glucagon,Serum Glucagon,"CDISC code: C74859
CDISC submission value: GLUCAGON
CDISC synonym(s): Glucagon
CDISC Description: A measurement of the glucagon hormone in a biological specimen.
NCI preferred term: Glucagon Measurement",NUMERIC FINDINGS,3483.0,Laboratory Assessments,Glucose Metabolism
GLUCOSE,GLUC05,Glucose,Glucose,A measurement of the glucose in a biological specimen.,NUMERIC FINDINGS,180.2,AE Requiring Additional Data,Laboratory Assessment
GLUCOSE_BLOOD,GLUCB,Glucose,Blood Glucose,"CDISC Submission value: GLUC
CDISC synonym: Glucose
CDISC code: C41376
CDISC definition: A measurement of the glucose in a biological specimen.",NUMERIC FINDINGS,180.2,Laboratory Assessments,Glucose Metabolism
GLUCOSE_C_URINE,GLUCU,Glucose,Glucose Urine,"CDISC code: C105585
CDISC submission value: GLUC
CDISC synonym(s): Glucose
CDISC Description: A measurement of the glucose in a biological specimen.
NCI preferred term: Glucose Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
GLUCOSE_PLASMA,GLUCP,Glucose,"Glucose, Plasma, Glucose Metabolism","CDISC code: C105585
CDISC submission value: GLUC
CDISC synonym(s): Glucose
CDISC Description: A measurement of the glucose in a biological specimen.
NCI preferred term: Glucose Measurement",NUMERIC FINDINGS,180.2,Laboratory Assessments,Glucose Metabolism
GLUCOSE_SERUM,GLUCS,Glucose,"Glucose, Serum","CDISC submission value: GLUC
CDISC synonym: Glucose
CDISC Code: C65047
CDISC: A measurement of the glucose in a biological specimen.",NUMERIC FINDINGS,180.2,Laboratory Assessments,Glucose Metabolism
GLUC_UR,GLUCU2,Glucose,Glucose Dipstick,Sponsordefined: The investigators evaluation of a measurement of the glucose in urine,CATEGORIC FINDINGS,,Laboratory Assessments,Urine Dipstick
GLUC_UR,GLUCU2,Glucose,Glucose Dipstick,Sponsordefined: The investigators evaluation of a measurement of the glucose in urine,CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
GLUC_UR,GLUCU2,Glucose,Glucose Dipstick,Sponsordefined: The investigators evaluation of a measurement of the glucose in urine,CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis - Urine Dipstick
HBA1C_BLOOD,HBA1CB,HbA1c,HbA1c,"HbA1c in blood
CDISC code: C64849
CDISC submission value: HBA1C
CDISC synonym(s): Hemoglobin A1C
CDISC Description: A measurement of the glycosylated hemoglobin in a biological specimen.
NCI preferred term: Glycosylated Hemoglobin Measurement",NUMERIC FINDINGS,,Laboratory Assessments,Glucose Metabolism
HEART_FAILURE_CLASSIFICATION,HTFAILCL,Heart Failure Classification,Heart Failure Classification,"Heart failure (HF) is routinely classified according to left ventricular ejection fraction (LVEF) as HF with reduced LVEF (HFrEF) or HF with preserved LVEF (HFpEF).
Ponikowski P et al. Eur Heart J 2016; 37:2129-2200 is the one which defines HFrEF, HFmrEF and HFpEF. https://onlinelibrary.wiley.com/doi/full/10.1002/ejhf.592
CDISC Definition: The percent or fraction of the left ventricular end diastolic volume ejected during systole that can be measured by visual estimation or calculation.",CATEGORIC FINDINGS,,Event Adjudication,Heart Failure
HEIGHT,HEIGHT,Height,Height,"CDISC code: C25347
CDISC submission value: HEIGHT
CDISC synonym(s): Height
CDISC Description: The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension. (NCI)
NCI preferred term: Height",NUMERIC FINDINGS,,Body Measurements,Body Measurements
HIP_CIRCUMFERENCE,HIPCIR,Hip Circumference,Hip Circumference,"CDISC code: C100947
CDISC submission value: HIPCIR
CDISC synonym(s): Hip Circumference
CDISC definition:The distance around an individual's pelvic area or hips.
NCI preferred term: Hip Circumference",NUMERIC FINDINGS,,Body Measurements,Body Measurements
HOSPITALIZATION DATE,HOSPDT,Hospitalisation,Hospitalisation,Date of admission to hospital.,PERIODIC,,Adverse Event,Adverse Event
HYPO_FEEL_BETTER,FEELBETT,Did the Subject Feel Better After the Treatment,Did the Subject Feel Better After the Treatment,Event adjudication: Subject feel better after treatment,CATEGORIC FINDINGS,,Event Adjudication,Hypoglycaemic Episode
INFORMED_CONSENT_DATE,INFCONDT,Informed Consent Obtained,Informed Consent Obtained Date,Date of informed consent obtained,DISPOSITION,,Informed Consent and Demography,Informed Consent and Demography
INFORMED_CONSENT_DATE,INFCONDT,Informed Consent Obtained,Informed Consent Obtained Date,Date of informed consent obtained,DISPOSITION,,Informed Consent,Informed Consent
INR,INR,Prothrombin Intl. Normalized Ratio,International Normalized Ratio,"Sponsor defined:
International Normalized Ratio",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
INR_PLASMA,INRP,Prothrombin Intl. Normalized Ratio,INR,"CDISC code:C64805
CDISC Submission value: INR 
CDISC synonum(s): Prothrombin Intl. Normalized Ratio
CDISC Description: A ratio that represents the prothrombin time for a plasma specimen, divided by the result for a control plasma specimen, further standardized for the International Sensitivity Index of the tissue factor(thromboplastin) used in the test.
CDISC Synonym(s): Prothrombin Intl. Normalized Ratio
NCI preferred term: International Normalized Ratio of Prothrombin Time",NUMERIC FINDINGS,,Laboratory Assessments,Coagulation Parameters
INSULIN_H_SERUM,INSULNS,Insulin,Human Insulin,"CDISC code: C74788
CDISC submission value: INSULIN
CDISC synonym(s): Insulin
CDISC Description: A measurement of the insulin in a biological specimen.
NCI preferred term: Insulin Measurement",NUMERIC FINDINGS,5808.0,Laboratory Assessments,Glucose Metabolism
INSULIN_SERUM,INSULNS2,Insulin,Insulin Serum,"Molecular Weight (MW): Confirmed by CHHE, Maaloev, 06-06-2013
CDISC code: C74788
CDISC submission value: INSULIN
CDISC synonym(s): Insulin
CDISC Description: A measurement of the insulin in a biological specimen.
NCI preferred term: Insulin Measurement",NUMERIC FINDINGS,5808.0,Laboratory Assessments,Glucose Metabolism
LAST_TRIAL_PROD_DATE,LDRGDT,Last Date on Trial Product,Last Date on Trial Product,Last date on trial product,DISPOSITION,,End of Study,End of Study
LAST_TRIAL_PROD_DATE,LDRGDT,Last Date on Trial Product,Last Date on Trial Product,Last date on trial product,DISPOSITION,,End of IMP Treatment,End of IMP Treatment
LEGAL OR AUTHORISED REPRESENTATIVE,LEGALCON,Informed Consent Obtained,Legal or Authorised Representative,Informed Consent obtained by legal or authorised representative,DISPOSITION,,Informed Consent and Demography,Informed Consent and Demography
LEGAL OR AUTHORISED REPRESENTATIVE,LEGALCON,Informed Consent Obtained,Legal or Authorised Representative,Informed Consent obtained by legal or authorised representative,DISPOSITION,,Informed Consent,Informed Consent
LEGAL OR AUTHORISED REPRESENTATIVE,LEGALCON,Informed Consent Obtained,Legal or Authorised Representative,Informed Consent obtained by legal or authorised representative,DISPOSITION,,Future Research Biosample Consent,Future Research Biosample Consent
LIPASET,LIPASET,Lipase,"Lipase, AE Requiring Additional Data",A measurement of the total lipase in a biological specimen.,NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
LIPASE_SERUM,LIPASETS,Lipase,"Lipase, Biochemistry","New version:C117748
OLD version
CDISC code: C64807
CDISC submission value: LIPASE
CDISC synonym(s): Triacylglycerol Lipase
CDISC Description: A measurement of the pancreatic lipase in a biological specimen.
NCI preferred term: Triacylglycerol Lipase Measurement",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
MEASURED_GFR_MGFR,GFR,Glomerular Filtration Rate,Glomerular Filtration Rate,"CDISC: C90505
A kidney function test that measures the fluid volume that is filtered from the kidney glomeruli to the Bowman's capsule per unit of time.

For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
MEDICAL_HISTORY,MEDHIST,Medical History/Concomitant Illness,Medical History/Concomitant Illness,Medical history/Concomitant illness,MEDICAL HISTORY,,Medical History/Concomitant Illness,Medical History/Concomitant Illness
METHOD OF CORONARY REVASCULARISATION,METHOCRV,Method of Coronary Revascularisation,Method of Coronary Revascularisation,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Coronary Revascularisation
NITRITE,NITRITE,Nitrite,"Nitrite, AE Requiring Additional Data","CDISC: C64810
A measurement of the nitrite in a urine specimen.

For Lab codes in AE Requiring Additional Data, there should be no SCATS",TEXTUAL FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
NITRITE_C_URINE,NITRIEU,Nitrite,Urine Nitrite,"NITRITE/ Urinalysis C
CDISC Not Exact Match
CDISC Submission Value: NITRITE
CDISC Code: C65047 
CDISC Synonyms: Nitrite
CDISC - A measurement of the nitrite in a urine specimen.",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
NITRITE_UR,NITRIEU2,Nitrite,"Nitrite, Urinalysis","Sponsordefined: The investigators evaluation of a measurement of the nitrite in a urine specimen.

CDISC Code: C64810
CDISC Submission Value: NITRITE
CDISC Synonym(s): Nitrite
CDISC Definition: A measurement of the nitrite in a urine specimen.
NCI Preferred Term: Nitrite Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urine Dipstick
NITRITE_UR,NITRIEU2,Nitrite,"Nitrite, Urinalysis","Sponsordefined: The investigators evaluation of a measurement of the nitrite in a urine specimen.

CDISC Code: C64810
CDISC Submission Value: NITRITE
CDISC Synonym(s): Nitrite
CDISC Definition: A measurement of the nitrite in a urine specimen.
NCI Preferred Term: Nitrite Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
NITRITE_UR,NITRIEU2,Nitrite,"Nitrite, Urinalysis","Sponsordefined: The investigators evaluation of a measurement of the nitrite in a urine specimen.

CDISC Code: C64810
CDISC Submission Value: NITRITE
CDISC Synonym(s): Nitrite
CDISC Definition: A measurement of the nitrite in a urine specimen.
NCI Preferred Term: Nitrite Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis - Urine Dipstick
OTHER ADJUDICATED EVENT TYPE,OTADEVTY,Other Adjudicated Event Type,Other Adjudicated Event Type,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,General
OXYGEN_SATURATION,OXYSAT,Oxygen Saturation,Oxygen Saturation,"Oxygen saturation

To be used for assessments by pulse oximetry (small clip on e.g. finger), not assessment based on blood sample.",NUMERIC FINDINGS,,Vital Signs,Vital Signs
PAIN01_02_HOW_WOULD_YOU_RATE_THE_PAIN_AT_ITS_WORST_IN_YOUR_TARGET_KNEE,PAIN0102,Pain Rating,Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,Pain Rating - How would you rate the pain at its worst in your target knee in the past 24 hours,CATEGORIC FINDINGS,,Clinical Outcome Assessments,Pain Rating
PANCREATITIS,PAN,Pancreatitis,Pancreatitis,AE Requiring Additional Data for Pancreatitis,PERIODIC,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS ABDOMINAL PAIN,PANABPN,Significant Upper Abdominal Pain,Significant Upper Abdominal Pain,Did the subject have significant upper abdominal pain ?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS ACUTE COMPLICATION,PANACOMP,Pancreatitis Complications,Any Acute Complications,Were any acute complications present during the course of the event?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS ACUTE OTHER IMAGING FINDING,PANCONOT,Pancreatitis Imaging Acute,Other Acute Pancreatitis Symptom,Other acute pancreatitis symptom,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS ALCOHOL CONSUMPTION,PANALCON,Pancreatitis Risk Factors,Risk Factor - Alcohol Consumption,Alcohol consumption,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS ATROPHY OF THE PANCREAS,PANATROP,Pancreatitis Imaging Chronic,Atrophy of the Pancreas,"CDISC Not Found: 
Sponsor defined: Atrophy of the pancreas",CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS CALCIFICATION OF PANCREAS,PANCALCI,Pancreatitis Imaging Chronic,Calcification of Pancreas,Calcification of pancreas,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS CHRONIC OTHER IMAGING FINDING,PANCHROT,Pancreatitis Imaging Chronic,Other Chronic Pancreatitis Symptom,Other chronic pancreatitis symptom,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS CT SCAN,PANCT,Pancreatitis Imaging,Imaging Method - CT Scan,Imaging method -  CT scan,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS DILATATION OF PANCREATIC DUCTS,PANDILPD,Pancreatitis Imaging Chronic,Dilatation of Pancreatic Ducts,Dilatation of pancreatic ducts,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS DILATED COMMON BILE DUCT,PANDILDU,Pancreatitis Imaging Acute,Dilated Common Bile Duct,Dilated common bile duct,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS FAMILY HISTORY OF PANCREATITIS,PANFHISP,Pancreatitis Risk Factors,Risk Factor -Family Hist of Pancreatitis,Family history of pancreatitis,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS FEVER,PANFEVER,Pancreatitis Signs And Symptoms,Fever as Symptom,Pancreatitis Signs/symptoms  - Fever,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS GASTROINTESTINAL HAEMORRHAGE,PANGIHEM,Pancreatitis Complications,Acute Complications - GI Haemorrhage,"CDISC Not Found: 
Sponsor defined: Gastrointestinal haemorrhage",CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS HISTORY OF GALLSTONES,PANHGALS,Pancreatitis Risk Factors,Risk Factor - History of Gallstones,History of gallstones,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS HYPER-CALCAEMIA,PANHYCAL,Pancreatitis Risk Factors,Risk Factor - Hyper-Calcaemia,Hyper-calcaemia,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS HYPER-TRIGLYCERIDEMIA,PANHTGLY,Pancreatitis Risk Factors,Risk Factor - Hyper-Triglyceridemia,Hyper-triglyceridemia,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS IMAGE CONSISTENT WITH ACUTE PANCREATITIS,PANIACON,Pancreatitis Imaging Acute,Imaging Consistent with Acute Pan,Was imaging consistent with acute pancreatitis?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS IMAGE CONSISTENT WITH CHRONIC PANCREATITIS,PANICCON,Pancreatitis Imaging Chronic,Imaging Consistent with Chronic Pan,Was imaging consistent with chronic pancreatitis?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS IMAGE CONSISTENT WITH GALLSTONE,PANIGON2,Pancreatitis Imaging,Imaging Consistent with Gallstone,Was imaging consistent with presence of gallstones?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS IMAGING PERFORMED,PANIMAPE,Pancreatitis Imaging,Was Imaging Performed,Was imaging performed in relation to pancreatitis?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS MRI,PANMRI,Pancreatitis Imaging,Imaging Method - MRI,Imaging method - MRI,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS NAUSEA,PANNASEA,Pancreatitis Signs And Symptoms,Nausea as Symptom,Pancreatitis signs/symptoms  - Nausea,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS NECROTISING,PANNECRP,Pancreatitis Imaging Acute,Necrotising Pancreatitis,Necrotising pancreatitis,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS OBSTRUCTIVE GALL-STONE,PANOBSTR,Pancreatitis Imaging Acute,Obstructive Gall-Stone,Obstructive gall-stone,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS OEDEMATOUS OR INTERSTITIAL PANCREATITIS,PANOEDIP,Pancreatitis Imaging Acute,Oedematous or Interstitial Pancreatitis,Oedematous or interstitial pancreatitis,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS OTHER,PANIMAOT,Pancreatitis Imaging,Imaging Method - Other,Other imaging method,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS OTHER COMPLIATION,PANACOOT,Pancreatitis Complications,Acute Complications - Other,Other acute complication,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS OTHER RISK,PANRISOT,Pancreatitis Risk Factors,Risk Factor - Other,Other risk/confounding factor,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS OTHER SYMPTOM,PANSYOT,Pancreatitis Signs And Symptoms,Other Symptom,Pancreatitis signs/symptoms  - Other,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS PERI-PANCREATIC FLUID,PANPERPF,Pancreatitis Imaging Acute,Peri-Pancreatic Fluid,Peri-pancreatic fluid,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS PSEUDOCYSTS,PANPSEUD,Pancreatitis Imaging Chronic,Pseudocysts,Pseudocysts,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS RENAL FAILURE REQUIRING DIALYSIS,PANRENFD,Pancreatitis Complications,Acute Complications - Renal Failure,Renal failure requiring dialysis,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS RESPIRATORY FAILURE REQUIRING VENTILATION,PANRESFV,Pancreatitis Complications,Acute Complications -Respiratory Failure,Respiratory failure requiring ventilation,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS RISK FACTORS,PANRRFAC,Pancreatitis Risk Factors,Pancreatitis Risk Factors,Were there any relevant risk/confounding factors identified?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS SEPSIS,PANSEPSI,Pancreatitis Complications,Acute Complications - Sepsis,Sepsis,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS SYMPTOMS,PANSYMP,Pancreatitis Signs And Symptoms,Symptoms Present During Event,Were other signs/symptoms present during the course of the event?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS TRAUMA TO THE PANCREAS,PANTRUMA,Pancreatitis Risk Factors,Risk Factor - Trauma to the Pancreas,Trauma to the pancreas (incl. endoscopic retrograde cholangiopancreatography (ERCP)),CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS TREATMENT,PANTRT,Treatment Type,Treatment Type,What treatment(s) did the subject receive for this condition?,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS ULTRASOUND,PANULTRA,Pancreatitis Imaging,Imaging Method - Ultrasound,Imaging method - ultrasound.,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PANCREATITIS VOMITING,PANVOMIT,Pancreatitis Signs And Symptoms,Vomiting as Symptom,Pancreatitis signs/symptoms  - Vomiting,CATEGORIC FINDINGS,,AE Requiring Additional Data,Pancreatitis
PH_UR,PHU2,pH,PH Dipstick,"Sponsor defined: The investigators evaluation of the negative logarithm (base 10) of the concentration of hydronium ions, which is used as a measure of the acidity or alkalinity of a fluid.",CATEGORIC FINDINGS,,Laboratory Assessments,Urine Dipstick
PH_UR,PHU2,pH,PH Dipstick,"Sponsor defined: The investigators evaluation of the negative logarithm (base 10) of the concentration of hydronium ions, which is used as a measure of the acidity or alkalinity of a fluid.",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
PH_UR,PHU2,pH,PH Dipstick,"Sponsor defined: The investigators evaluation of the negative logarithm (base 10) of the concentration of hydronium ions, which is used as a measure of the acidity or alkalinity of a fluid.",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis - Urine Dipstick
PH_URINE,PHU,pH,Urine pH,"CDISC code: C45997
CDISC submission value: PH
CDISC synonym(s): pH
CDISC Description: A measure of the acidity or alkalinity of a fluid on a scale of 0 to 14.(NCI)
NCI preferred term: pH",NUMERIC FINDINGS,,Laboratory Assessments,Urinalysis
PLATELETS,PLAT,Platelets,Platelets,A measurement of the platelets (non-nucleated thrombocytes),NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
POTASSIUM,K,Potassium,"Potassium, AE Requiring Additional Data",A measurement of the potassium,NUMERIC FINDINGS,39.1,AE Requiring Additional Data,Laboratory Assessment
POTASSIUM_SERUM,KS,Potassium,"Potassium, Biochemistry","CDISC code: C64853
CDISC submission value: K
CDISC synonym(s): Potassium
CDISC Description: A measurement of the potassium in a biological specimen.
NCI preferred term: Potassium Measurement",NUMERIC FINDINGS,39.1,Laboratory Assessments,Biochemistry
PROTEIN_URINE,PROTU4,Protein,Protein,"CDISC: C64858
A measurement of the total protein in a biological specimen.

For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
PROTHROMBIN_TIME,PT,Prothrombin Time,"Prothrombin Time, AE Requiring Additional Data",A blood clotting measurement that evaluates the extrinsic pathway of coagulation,NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
PROT_UR,PROTU2,Protein,"Protein Urine, Stick","The investigators evaluation of a measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in urine.
Code:C64858
CDISC Code Value: PROT
CDISC Value Label: Protein
CDISC synonym(s): Protein
CDISC definition: A measurement of the total protein in a biological specimen.
NCI preferred term: Total Protein Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urine Dipstick
PROT_UR,PROTU2,Protein,"Protein Urine, Stick","The investigators evaluation of a measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in urine.
Code:C64858
CDISC Code Value: PROT
CDISC Value Label: Protein
CDISC synonym(s): Protein
CDISC definition: A measurement of the total protein in a biological specimen.
NCI preferred term: Total Protein Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
PROT_UR,PROTU2,Protein,"Protein Urine, Stick","The investigators evaluation of a measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in urine.
Code:C64858
CDISC Code Value: PROT
CDISC Value Label: Protein
CDISC synonym(s): Protein
CDISC definition: A measurement of the total protein in a biological specimen.
NCI preferred term: Total Protein Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis - Urine Dipstick
PT_PLASMA,PTP,Prothrombin Time,"Prothrombin Time, Plasma","CDISC submission value: PT
CDISC synonym: Prothrombin Time
CDISC code: C62656
CDISC definition: A blood clotting measurement that evaluates the extrinsic pathway of coagulation and is expressed in units of time or percent activity.",NUMERIC FINDINGS,,Laboratory Assessments,Coagulation Parameters
PULSE,PULSE,Pulse Rate,Pulse,"CDISC code: C49676
CDISC submission value: PULSE
CDISC synonym(s): Pulse Rate
CDISC Description: The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot. (NCI)
NCI preferred term: Pulse Rate",NUMERIC FINDINGS,,Vital Signs,Vital Signs
