item_oid,activity_instance_name,activity_item_class_name,order,primary,preset_response_value,value_condition,value_dependent_map
ImportedInstance_Item_56,"Aspartate Aminotransferase, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_57,"Aspartate Aminotransferase, Biochemistry",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_58,"Aspartate Aminotransferase, Biochemistry",specimen,2,No,,,
ImportedInstance_Item_59,BG Super GL Analyzer,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_60,"Direct Bilirubin, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_61,"Bilirubin, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_62,"Indirect Bilirubin, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_63,"Bilirubin, Biochemistry",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_64,"Bilirubin, Biochemistry",specimen,2,No,,,
ImportedInstance_Item_65,Bilirubin Urine,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_66,Bilirubin Urine,specimen,2,No,,,
ImportedInstance_Item_67,Have All Blood Samples Been Taken,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_68,Have All Blood Samples Been Taken,specimen,2,No,,,
ImportedInstance_Item_69,Urea Nitrogen,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_70,Urea Nitrogen,specimen,2,No,,,
ImportedInstance_Item_71,Body Temperature,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_72,Body Temperature,location,5,No,,,
ImportedInstance_Item_73,Body Temperature,position,6,No,,,
ImportedInstance_Item_74,Body Weight,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_75,Diastolic Blood Pressure,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_76,Diastolic Blood Pressure,laterality,5,No,,,
ImportedInstance_Item_77,Diastolic Blood Pressure,location,6,No,,,
ImportedInstance_Item_78,Diastolic Blood Pressure,position,7,No,,,
ImportedInstance_Item_79,Systolic Blood Pressure,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_80,Systolic Blood Pressure,laterality,5,No,,,
ImportedInstance_Item_81,Systolic Blood Pressure,location,6,No,,,
ImportedInstance_Item_82,Systolic Blood Pressure,position,7,No,,,
ImportedInstance_Item_83,Cause of Death,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_84,CGM - Sensor Value,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_85,Imaging Findings Characteristic of Pancreatitis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_86,Is the Subject of Childbearing Potential,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_87,Classification of Myocardial Infarction,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_88,Creatinine Clearance,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_89,"Creatinine, Biochemistry",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_90,"Creatinine, Biochemistry",specimen,2,No,,,
ImportedInstance_Item_91,C-Reactive Protein,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_92,High Sensitive C-Reactive Protein,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_93,High Sensitive C-Reactive Protein,specimen,2,No,,,
ImportedInstance_Item_94,Cystatin C,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_95,C-Peptide,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_96,C-Peptide,specimen,2,No,,,
ImportedInstance_Item_97,C-Reactive Protein Plasma,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_98,C-Reactive Protein Plasma,specimen,2,No,,,
ImportedInstance_Item_99,Location of Death Occurrence,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_100,eGFR Using CKD-EPI Formula,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_101,eGFR Using CKD-EPI Formula,specimen,2,No,,,
ImportedInstance_Item_102,"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",categoric_finding_original_result,1,No,,,
ImportedInstance_Item_103,Eosinophils Blood,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_104,Eosinophils Blood,specimen,2,No,,,
ImportedInstance_Item_105,Eosinophils Cell Count (AE),numeric_finding_original_result,1,No,,,
ImportedInstance_Item_106,Erythrocytes,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_107,Erythrocytes,specimen,2,No,,,
ImportedInstance_Item_108,Estimated GFR,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_109,Ethnicity,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_110,Evaluated Event Onset Date,textual_finding_original_result,1,No,,,
